"NO2" "type" "fluidite"
"201" 120.35865 "A" "1"
"202" 146.34611 "U" "2"
"203" 176.47063 "U" "2"
"204" 320.0014 "U" "3"
"205" 284.8192 "U" "1"
"206" 222.8588 "P" "3"
"207" 209.6989 "A" "1"
"208" 257.9264 "P" "2"
"209" 225.8384 "P" "1"
"210" 253.0368 "V" "2"
"211" 191.955 "U" "1"
"212" 269.0808 "U" "4"
"213" 408.2243 "P" "2"
"214" 496.4854 "T" "2"
"215" 452.1925 "A" "1"
"216" 461.0167 "A" "3"
"217" 481.9885 "T" "1"
"218" 501.7188 "P" "2"
"219" 376.4801 "A" "1"
"220" 162.58302 "A" "1"
"221" 296.5084 "U" "2"
"222" 373.0039 "U" "1"
"223" 500.4009 "U" "1"
"224" 178.03492 "U" "3"
"225" 299.9846 "P" "1"
"226" 359.4238 "A" "1"
"227" 381.3888 "P" "4"
"228" 397.8912 "P" "3"
"229" 355.2027 "V" "3"
"230" 331.0985 "U" "4"
"231" 335.7398 "U" "1"
"232" 511.3834 "V" "3"
"233" 85.37509 "A" "2"
"234" 74.49 "T" "3"
"235" 99.18439 "P" "1"
"236" 126.51649 "V" "1"
"237" 81.63913 "A" "4"
"238" 94.22603 "A" "3"
"239" 135.70359 "U" "1"
"240" 143.18506 "U" "1"
"241" 155.85791 "U" "2"
"242" 177.01689 "U" "1"
"243" 101.72469 "P" "4"
"244" 83.4097 "A" "2"
"245" 85.61957 "P" "3"
"246" 114.41282 "P" "3"
"247" 97.24574 "V" "3"
"248" 107.06123 "U" "1"
"249" 181.09283 "U" "4"
"250" 207.999 "P" "4"
"251" 207.2923 "T" "1"
"252" 221.8656 "A" "1"
"253" 237.4321 "A" "4"
"254" 199.3276 "T" "1"
"255" 199.2512 "P" "3"
"256" 206.471 "V" "1"
"257" 170.7731 "A" "4"
"258" 201.2949 "A" "4"
"259" 256.6085 "U" "3"
"260" 292.8794 "U" "3"
"261" 202.1544 "U" "3"
"262" 206.5474 "U" "4"
"263" 160.91177 "P" "1"
"264" 87.45508 "A" "4"
"265" 158.3008 "P" "4"
"266" 171.36711 "P" "1"
"267" 206.5283 "V" "3"
"268" 130.48929 "U" "2"
"269" 285.4304 "U" "1"
"270" 132.35345 "A" "1"
"271" 150.59777 "T" "4"
"272" 174.21492 "P" "2"
"273" 210.0045 "V" "3"
"274" 137.30417 "A" "1"
"275" 106.62766 "A" "3"
"276" 168.71985 "U" "1"
"277" 206.0508 "U" "2"
"278" 119.3177 "U" "2"
"279" 174.5931 "U" "2"
"280" 127.64148 "P" "4"
"281" 131.45002 "A" "3"
"282" 70.77505 "P" "3"
"283" 184.1622 "P" "2"
"284" 121.87519 "V" "4"
"285" 152.39126 "U" "1"
"286" 129.116 "U" "3"
